age,president_year
77,Joe Biden (2020)
73,Ronald Reagan (1984)
70,Donald J. Trump (2016)
69,Ronald Reagan (1980)
67,William Henry Harrison (1840)
65,James Buchanan (1856)
65,Andrew Jackson (1832)
65,Thomas Jefferson (1804)
64,Harry S. Truman (1948)
64,George Bush (1988)
63,Zachary Taylor (1848)
62,Dwight E. Eisenhower (1952)
62,Franklin D. Roosevelt (1944)
62,James Monroe (1820)
61,Gerald Ford (1974)(i)
61,Andrew Jackson (1828)
61,James Madison (1812)
61,Thomas Jefferson (1800)
61,John Adams (1796)
60,Harry S. Truman (1945)(g)
60,George Washington (1792)
59,Richard Nixon (1972)
59,Woodrow Wilson (1916)
58,George W. Bush (2004)
58,Franklin D. Roosevelt (1940)
58,James Monroe (1816)
57,William McKinley (1900)
57,John Quincy Adams (1824)
57,James Madison (1808)
57,George Washington (1789)
56,Lyndon B. Johnson (1964)
56,Andrew Johnson (1865)(c)
55,Lyndon B. Johnson (1963)(h)
55,Richard Nixon (1968)
55,Woodrow Wilson (1912)
55,Warren G. Harding (1920)
55,Grover Cleveland (1892)
55,Benjamin Harrison (1888)
55,Abraham Lincoln (1864)
54,George W. Bush (2000)
54,Herbert Hoover (1928)
54,Franklin D. Roosevelt (1936)
54,Rutherford B. Hayes (1876)
53,William McKinley (1896)
53,Martin Van Buren (1836)
52,Jimmy Carter (1976)
52,Calvin Coolidge (1924)
51,Barack Obama (2012)
51,William Howard Taft (1908)
51,Calvin Coolidge (1923)(f)
51,Chester A. Arthur (1881)(d)
51,Abraham Lincoln (1960)
51,John Tyler (1841)(a)
50,Bill Clinton (1996)
50,Franklin D. Roosevelt (1932)
50,Rutherford B. Hayes (1872)
50,Millard Fillmore (1850)(b)
48,James A. Garfield (1880)
48,James K. Polk (1844)
47,Barack Obama (2008)
47,Grover Cleveland (1884)
47,Franklin Pierce (1852)
46,Bill Clinton (1992)
46,Theodore Roosevelt (1904)
46,Ulysses S. Grant (1868)
43,John F. Kennedy (1960)
42,Theodore Roosevelt (1901)(e)
