year,democratic,republican,winner
2020,81283501,74223975,Democratic
2016,65853514,62984828,Republican*
2012,65915795,60933504,Democratic
2008,69498516,59948323,Democratic
2004,59028444,62040610,Republican
2000,50999897,50456002,Republican*
1996,47402357,39198755,Democratic
1992,44909889,39104545,Democratic
1988,41809074,48886097,Republican
1984,37577185,54455075,Republican
1980,35483883,43904153,Republican
1976,40830763,39147793,Democratic
1972,29170383,47169911,Republican
1968,31275166,31785480,Republican
1964,43129566,27178188,Democratic
1960,34226731,34108157,Democratic
1956,26022752,35590472,Republican
1952,27314992,33777945,Republican
1948,24105810,21970064,Democratic
1944,25612610,22014160,Democratic
1940,27243218,22334940,Democratic
1936,27750866,16679683,Democratic
1932,22818740,15760425,Democratic
1928,15004336,21432823,Republican
1924,8386532,15724310,Republican
1920,9134074,16151916,Republican
1916,9126063,8547030,Democratic
1912,6294327,3486343,Democratic
1908,6406874,7676598,Republican
1904,5083501,7625599,Republican
1900,6357698,7219193,Republican
1896,6370897,7105076,Republican
1892,5554617,5186793,Democratic
1888,5539118,5449825,Republican*
1884,4915586,4852916,Democratic
1880,4445256,4453611,Republican
1876,4288191,4033497,Republican*
1872,2835315,3598468,Republican
1868,2708744,3013650,Republican
1864,1809445,2220846,Republican
1860,1380202,1865908,Republican
1856,1836072,1342345,Democratic
